                                                  Таблица
-------------------------------------------------------------------------------------
| Угол |Давлен. Р | Сила  PR |Сила ин. F|Сум.силаPS| Сила  NS |Окp.сила T|Pад.сила Z|
-------------------------------------------------------------------------------------
|540.00| .0000E+00| .0000E+00| .1180E+05| .1180E+05| .2449E-01| .6522E-01|-.1180E+05|
|552.86| .0000E+00| .0000E+00| .1183E+05| .1183E+05|-.7198E+03|-.1930E+04|-.1169E+05|
|565.71| .0000E+00| .0000E+00| .1186E+05| .1186E+05|-.1414E+04|-.3870E+04|-.1130E+05|
|578.57| .0000E+00| .0000E+00| .1170E+05| .1170E+05|-.2021E+04|-.5715E+04|-.1041E+05|
|591.43| .0000E+00| .0000E+00| .1110E+05| .1110E+05|-.2426E+04|-.7168E+04|-.8819E+04|
|604.29| .0000E+00| .0000E+00| .9802E+04| .9802E+04|-.2487E+04|-.7752E+04|-.6494E+04|
|617.14| .0000E+00| .0000E+00| .7602E+04| .7602E+04|-.2099E+04|-.6944E+04|-.3738E+04|
|630.00| .0000E+00| .0000E+00| .4430E+04| .4430E+04|-.1257E+04|-.4430E+04|-.1257E+04|
|642.86| .0000E+00| .0000E+00| .3805E+03| .3805E+03|-.1051E+03|-.3944E+03|-.1776E+02|
|655.71| .0000E+00| .0000E+00|-.4278E+04|-.4278E+04| .1086E+04| .4326E+04|-.8781E+03|
|668.57| .0000E+00| .0000E+00|-.9131E+04|-.9131E+04| .1995E+04| .8383E+04|-.4133E+04|
|681.43| .0000E+00| .0000E+00|-.1367E+05|-.1367E+05| .2362E+04| .1037E+05|-.9216E+04|
|694.29| .0000E+00| .0000E+00|-.1738E+05|-.1738E+05| .2073E+04| .9409E+04|-.1476E+05|
|707.14| .0000E+00| .0000E+00|-.1981E+05|-.1981E+05| .1206E+04| .5584E+04|-.1904E+05|
|720.00| .0000E+00| .0000E+00|-.2066E+05|-.2066E+05| .3567E-01| .1663E+00|-.2066E+05|
-------------------------------------------------------------------------------------
