                                                  Таблица
-------------------------------------------------------------------------------------
| Угол |Давлен. Р | Сила  PR |Сила ин. F|Сум.силаPS| Сила  NS |Окp.сила T|Pад.сила Z|
-------------------------------------------------------------------------------------
|180.00| .8219E+06| .1410E+05| .1180E+05| .2590E+05| .1792E-01| .4773E-01|-.2590E+05|
|192.86| .8306E+06| .1426E+05| .1183E+05| .2609E+05|-.1588E+04|-.4258E+04|-.2579E+05|
|205.71| .8576E+06| .1478E+05| .1186E+05| .2663E+05|-.3177E+04|-.8693E+04|-.2537E+05|
|218.57| .9061E+06| .1570E+05| .1170E+05| .2740E+05|-.4733E+04|-.1338E+05|-.2437E+05|
|231.43| .9822E+06| .1714E+05| .1110E+05| .2825E+05|-.6171E+04|-.1824E+05|-.2244E+05|
|244.29| .1096E+07| .1931E+05| .9802E+04| .2911E+05|-.7387E+04|-.2302E+05|-.1929E+05|
|257.14| .1265E+07| .2251E+05| .7602E+04| .3011E+05|-.8314E+04|-.2751E+05|-.1481E+05|
|270.00| .1515E+07| .2726E+05| .4430E+04| .3169E+05|-.8994E+04|-.3169E+05|-.8994E+04|
|282.86| .1893E+07| .3445E+05| .3805E+03| .3483E+05|-.9616E+04|-.3609E+05|-.1626E+04|
|295.71| .2476E+07| .4551E+05|-.4278E+04| .4123E+05|-.1046E+05|-.4169E+05| .8463E+04|
|308.57| .3387E+07| .6282E+05|-.9131E+04| .5369E+05|-.1173E+05|-.4929E+05| .2430E+05|
|321.43| .4798E+07| .8960E+05|-.1367E+05| .7593E+05|-.1312E+05|-.5760E+05| .5119E+05|
|334.29| .6808E+07| .1278E+06|-.1738E+05| .1104E+06|-.1317E+05|-.5976E+05| .9375E+05|
|347.14| .9012E+07| .1696E+06|-.1981E+05| .1498E+06|-.9119E+04|-.4223E+05| .1440E+06|
|360.00| .1007E+08| .1898E+06|-.2066E+05| .1691E+06|-.3222E+00|-.1502E+01| .1691E+06|
-------------------------------------------------------------------------------------
