                                                  Таблица
-------------------------------------------------------------------------------------
| Угол |Давлен. Р | Сила  PR |Сила ин. F|Сум.силаPS| Сила  NS |Окp.сила T|Pад.сила Z|
-------------------------------------------------------------------------------------
|   .00| .0000E+00| .0000E+00|-.2066E+05|-.2066E+05| .0000E+00| .0000E+00|-.2066E+05|
| 12.86| .0000E+00| .0000E+00|-.1981E+05|-.1981E+05|-.1206E+04|-.5584E+04|-.1905E+05|
| 25.71| .0000E+00| .0000E+00|-.1738E+05|-.1738E+05|-.2073E+04|-.9409E+04|-.1476E+05|
| 38.57| .0000E+00| .0000E+00|-.1367E+05|-.1367E+05|-.2362E+04|-.1037E+05|-.9216E+04|
| 51.43| .0000E+00| .0000E+00|-.9131E+04|-.9131E+04|-.1995E+04|-.8383E+04|-.4133E+04|
| 64.29| .0000E+00| .0000E+00|-.4278E+04|-.4278E+04|-.1086E+04|-.4326E+04|-.8781E+03|
| 77.14| .0000E+00| .0000E+00| .3804E+03| .3804E+03| .1050E+03| .3942E+03|-.1775E+02|
| 90.00| .0000E+00| .0000E+00| .4430E+04| .4430E+04| .1257E+04| .4430E+04|-.1257E+04|
|102.86| .0000E+00| .0000E+00| .7602E+04| .7602E+04| .2099E+04| .6944E+04|-.3738E+04|
|115.71| .0000E+00| .0000E+00| .9802E+04| .9802E+04| .2487E+04| .7752E+04|-.6494E+04|
|128.57| .0000E+00| .0000E+00| .1110E+05| .1110E+05| .2426E+04| .7168E+04|-.8819E+04|
|141.43| .0000E+00| .0000E+00| .1170E+05| .1170E+05| .2021E+04| .5715E+04|-.1041E+05|
|154.29| .0000E+00| .0000E+00| .1186E+05| .1186E+05| .1414E+04| .3870E+04|-.1130E+05|
|167.14| .0000E+00| .0000E+00| .1183E+05| .1183E+05| .7199E+03| .1930E+04|-.1169E+05|
|180.00| .0000E+00| .0000E+00| .1180E+05| .1180E+05| .7396E-02| .1970E-01|-.1180E+05|
-------------------------------------------------------------------------------------
