                                                  Таблица
-------------------------------------------------------------------------------------
| Угол |Давлен. Р | Сила  PR |Сила ин. F|Сум.силаPS| Сила  NS |Окp.сила T|Pад.сила Z|
-------------------------------------------------------------------------------------
|540.00| .0000E+00| .0000E+00| .1461E+05| .1461E+05| .2779E-01| .8337E-01|-.1461E+05|
|550.00| .0000E+00| .0000E+00| .1461E+05| .1461E+05|-.6349E+03|-.1912E+04|-.1450E+05|
|560.00| .0000E+00| .0000E+00| .1458E+05| .1458E+05|-.1251E+04|-.3811E+04|-.1413E+05|
|570.00| .0000E+00| .0000E+00| .1444E+05| .1444E+05|-.1819E+04|-.5644E+04|-.1342E+05|
|580.00| .0000E+00| .0000E+00| .1408E+05| .1408E+05|-.2293E+04|-.7295E+04|-.1226E+05|
|590.00| .0000E+00| .0000E+00| .1337E+05| .1337E+05|-.2609E+04|-.8566E+04|-.1059E+05|
|600.00| .0000E+00| .0000E+00| .1218E+05| .1218E+05|-.2701E+04|-.9197E+04|-.8429E+04|
|610.00| .0000E+00| .0000E+00| .1040E+05| .1040E+05|-.2513E+04|-.8910E+04|-.5917E+04|
|620.00| .0000E+00| .0000E+00| .7962E+04| .7962E+04|-.2022E+04|-.7490E+04|-.3374E+04|
|630.00| .0000E+00| .0000E+00| .4872E+04| .4872E+04|-.1258E+04|-.4872E+04|-.1258E+04|
|640.00| .0000E+00| .0000E+00| .1194E+04| .1194E+04|-.3034E+03|-.1229E+04|-.9138E+02|
|650.00| .0000E+00| .0000E+00|-.2933E+04|-.2933E+04| .7088E+03| .2998E+04|-.3370E+03|
|660.00| .0000E+00| .0000E+00|-.7307E+04|-.7307E+04| .1621E+04| .7139E+04|-.2250E+04|
|670.00| .0000E+00| .0000E+00|-.1168E+05|-.1168E+05| .2279E+04| .1041E+05|-.5762E+04|
|680.00| .0000E+00| .0000E+00|-.1577E+05|-.1577E+05| .2568E+04| .1211E+05|-.1043E+05|
|690.00| .0000E+00| .0000E+00|-.1931E+05|-.1931E+05| .2433E+04| .1176E+05|-.1551E+05|
|700.00| .0000E+00| .0000E+00|-.2204E+05|-.2204E+05| .1892E+04| .9317E+04|-.2007E+05|
|710.00| .0000E+00| .0000E+00|-.2377E+05|-.2377E+05| .1033E+04| .5145E+04|-.2323E+05|
|720.00| .0000E+00| .0000E+00|-.2436E+05|-.2436E+05| .5014E-01| .2507E+00|-.2436E+05|
-------------------------------------------------------------------------------------
