                                                  Таблица
-------------------------------------------------------------------------------------
| Угол |Давлен. Р | Сила  PR |Сила ин. F|Сум.силаPS| Сила  NS |Окp.сила T|Pад.сила Z|
-------------------------------------------------------------------------------------
|360.00| .5752E+07| .1077E+06|-.2436E+05| .8337E+05|-.1057E+00|-.5284E+00| .8337E+05|
|370.00| .6361E+07| .1193E+06|-.2377E+05| .9552E+05| .4151E+04| .2067E+05| .9335E+05|
|380.00| .5385E+07| .1008E+06|-.2204E+05| .7871E+05| .6755E+04| .3327E+05| .7166E+05|
|390.00| .4283E+07| .7983E+05|-.1931E+05| .6052E+05| .7625E+04| .3686E+05| .4860E+05|
|400.00| .3331E+07| .6175E+05|-.1577E+05| .4598E+05| .7485E+04| .3529E+05| .3041E+05|
|410.00| .2600E+07| .4788E+05|-.1168E+05| .3620E+05| .7063E+04| .3227E+05| .1786E+05|
|420.00| .2066E+07| .3773E+05|-.7308E+04| .3042E+05| .6747E+04| .2972E+05| .9369E+04|
|430.00| .1681E+07| .3041E+05|-.2933E+04| .2748E+05| .6642E+04| .2809E+05| .3158E+04|
|440.00| .1402E+07| .2512E+05| .1194E+04| .2632E+05| .6685E+04| .2708E+05|-.2013E+04|
|450.00| .1199E+07| .2126E+05| .4872E+04| .2613E+05| .6747E+04| .2613E+05|-.6747E+04|
|460.00| .1049E+07| .1842E+05| .7962E+04| .2638E+05| .6701E+04| .2481E+05|-.1118E+05|
|470.00| .9380E+06| .1630E+05| .1040E+05| .2670E+05| .6453E+04| .2288E+05|-.1520E+05|
|480.00| .8550E+06| .1473E+05| .1218E+05| .2691E+05| .5967E+04| .2032E+05|-.1862E+05|
|490.00| .7933E+06| .1356E+05| .1337E+05| .2693E+05| .5254E+04| .1725E+05|-.2133E+05|
|500.00| .7479E+06| .1269E+05| .1408E+05| .2678E+05| .4359E+04| .1387E+05|-.2331E+05|
|510.00| .7155E+06| .1208E+05| .1444E+05| .2652E+05| .3341E+04| .1037E+05|-.2464E+05|
|520.00| .6938E+06| .1167E+05| .1458E+05| .2625E+05| .2252E+04| .6860E+04|-.2543E+05|
|530.00| .6813E+06| .1143E+05| .1461E+05| .2604E+05| .1132E+04| .3408E+04|-.2584E+05|
|540.00| .6772E+06| .1135E+05| .1461E+05| .2597E+05| .3699E-01| .1110E+00|-.2597E+05|
-------------------------------------------------------------------------------------
