                                                  Таблица
-------------------------------------------------------------------------------------
| Угол |Давлен. Р | Сила  PR |Сила ин. F|Сум.силаPS| Сила  NS |Окp.сила T|Pад.сила Z|
-------------------------------------------------------------------------------------
|   .00| .0000E+00| .0000E+00|-.2436E+05|-.2436E+05| .0000E+00| .0000E+00|-.2436E+05|
| 10.00| .0000E+00| .0000E+00|-.2377E+05|-.2377E+05|-.1033E+04|-.5144E+04|-.2323E+05|
| 20.00| .0000E+00| .0000E+00|-.2204E+05|-.2204E+05|-.1892E+04|-.9317E+04|-.2007E+05|
| 30.00| .0000E+00| .0000E+00|-.1931E+05|-.1931E+05|-.2433E+04|-.1176E+05|-.1551E+05|
| 40.00| .0000E+00| .0000E+00|-.1577E+05|-.1577E+05|-.2568E+04|-.1211E+05|-.1043E+05|
| 50.00| .0000E+00| .0000E+00|-.1168E+05|-.1168E+05|-.2279E+04|-.1041E+05|-.5762E+04|
| 60.00| .0000E+00| .0000E+00|-.7307E+04|-.7307E+04|-.1621E+04|-.7139E+04|-.2250E+04|
| 70.00| .0000E+00| .0000E+00|-.2933E+04|-.2933E+04|-.7088E+03|-.2998E+04|-.3370E+03|
| 80.00| .0000E+00| .0000E+00| .1194E+04| .1194E+04| .3033E+03| .1229E+04|-.9136E+02|
| 90.00| .0000E+00| .0000E+00| .4872E+04| .4872E+04| .1258E+04| .4872E+04|-.1258E+04|
|100.00| .0000E+00| .0000E+00| .7962E+04| .7962E+04| .2022E+04| .7489E+04|-.3374E+04|
|110.00| .0000E+00| .0000E+00| .1040E+05| .1040E+05| .2513E+04| .8910E+04|-.5917E+04|
|120.00| .0000E+00| .0000E+00| .1218E+05| .1218E+05| .2701E+04| .9197E+04|-.8429E+04|
|130.00| .0000E+00| .0000E+00| .1337E+05| .1337E+05| .2609E+04| .8566E+04|-.1059E+05|
|140.00| .0000E+00| .0000E+00| .1408E+05| .1408E+05| .2293E+04| .7295E+04|-.1226E+05|
|150.00| .0000E+00| .0000E+00| .1444E+05| .1444E+05| .1819E+04| .5644E+04|-.1342E+05|
|160.00| .0000E+00| .0000E+00| .1458E+05| .1458E+05| .1251E+04| .3811E+04|-.1413E+05|
|170.00| .0000E+00| .0000E+00| .1461E+05| .1461E+05| .6350E+03| .1912E+04|-.1450E+05|
|180.00| .0000E+00| .0000E+00| .1461E+05| .1461E+05| .6650E-02| .1995E-01|-.1461E+05|
-------------------------------------------------------------------------------------
